topic,variable,discipline,location,value
security,funding_lq,Engineering and Technology,Flintshire,0.0
sensors_data_telescopy,funding_lq,Physics,Flintshire,0.0
social_care,funding_lq,Social Sciences,Flintshire,0.0
social_history,funding_lq,Arts and Humanities,Flintshire,3.1127398679643323
social_history_identity,funding_lq,Arts and Humanities,Flintshire,0.0
sociology,funding_lq,Social Sciences,Flintshire,6.388307444571444
statistics_data_analysis,funding_lq,Mathematics and Computing,Flintshire,0.0
surgert_cardiology,funding_lq,Medical Science,Flintshire,0.0
systems_infrastructure,funding_lq,Engineering and Technology,Flintshire,1.8556552118271084
theoretical_physics,funding_lq,Physics,Flintshire,0.0
transport_communications,funding_lq,Mathematics and Computing,Flintshire,0.01075621902655479
visual,funding_lq,Arts and Humanities,Flintshire,0.006927446920424786
ageing,funding_total,Medical Science,Flintshire,0.0
agriculture_plant_biology_entomology,funding_total,Life Sciences,Flintshire,0.0
applications_devices_users,funding_total,Mathematics and Computing,Flintshire,2460290.0
archaeology,funding_total,Arts and Humanities,Flintshire,0.0
architecture_spatial,funding_total,Arts and Humanities,Flintshire,0.0
astronomy,funding_total,Physics,Flintshire,0.0
astrophysics,funding_total,Physics,Flintshire,0.0
bio_informatics,funding_total,Life Sciences,Flintshire,0.0
biopharmaceuticals,funding_total,Life Sciences,Flintshire,0.0
bones_muscles,funding_total,Life Sciences,Flintshire,0.0
carbon_greenhouse_pollution,funding_total,Environmental Sciences,Flintshire,0.0
cells_cancer,funding_total,Medical Science,Flintshire,0.0
cellular_biology_cancer,funding_total,Life Sciences,Flintshire,278698.0
chemistry_biochemistry,funding_total,Engineering and Technology,Flintshire,783343.0
classic_religious_history,funding_total,Arts and Humanities,Flintshire,0.0
climate_science,funding_total,Environmental Sciences,Flintshire,1105652.0
cognition_&_audio,funding_total,Mathematics and Computing,Flintshire,0.0
computer_science,funding_total,Mathematics and Computing,Flintshire,0.0
computer_vision,funding_total,Mathematics and Computing,Flintshire,0.0
cosmology,funding_total,Physics,Flintshire,0.0
criminology_violence,funding_total,Social Sciences,Flintshire,0.0
cyber_security,funding_total,Mathematics and Computing,Flintshire,0.0
data_methods,funding_total,Medical Science,Flintshire,0.0
design_&_heritage,funding_total,Arts and Humanities,Flintshire,13800.0
development_studies,funding_total,Social Sciences,Flintshire,0.0
disease_infection_health,funding_total,Medical Science,Flintshire,0.0
drug_tests,funding_total,Medical Science,Flintshire,0.0
economics,funding_total,Social Sciences,Flintshire,1842770.0
ecosystems,funding_total,Environmental Sciences,Flintshire,0.0
education,funding_total,Social Sciences,Flintshire,0.0
electronics_transistors,funding_total,Engineering and Technology,Flintshire,725791.0
energy_environmental,funding_total,Engineering and Technology,Flintshire,10791830.0
energy_transport_technology,funding_total,Engineering and Technology,Flintshire,2470390.0
environment,funding_total,Social Sciences,Flintshire,0.0
environmental_policy,funding_total,Environmental Sciences,Flintshire,10613692.0
epidemiology_immunology,funding_total,Life Sciences,Flintshire,458538.0
evidence_for_policy,funding_total,Social Sciences,Flintshire,1842770.0
experiments,funding_total,Medical Science,Flintshire,0.0
gender_sexuality,funding_total,Social Sciences,Flintshire,0.0
genetics,funding_total,Medical Science,Flintshire,0.0
geology,funding_total,Environmental Sciences,Flintshire,224298.0
health_interventions_policy,funding_total,Medical Science,Flintshire,0.0
health_social_issues,funding_total,Arts and Humanities,Flintshire,0.0
hidrology,funding_total,Environmental Sciences,Flintshire,0.0
imaging,funding_total,Life Sciences,Flintshire,0.0
industrial_application,funding_total,Life Sciences,Flintshire,2791858.0
ionisation_plasma,funding_total,Engineering and Technology,Flintshire,0.0
law,funding_total,Social Sciences,Flintshire,0.0
linguistics,funding_total,Arts and Humanities,Flintshire,0.0
literature,funding_total,Arts and Humanities,Flintshire,0.0
management,funding_total,Social Sciences,Flintshire,0.0
materials,funding_total,Engineering and Technology,Flintshire,0.0
mathematics,funding_total,Mathematics and Computing,Flintshire,0.0
media_performance,funding_total,Arts and Humanities,Flintshire,0.0
medieval_modern_history,funding_total,Arts and Humanities,Flintshire,0.0
migration_colonial_history,funding_total,Arts and Humanities,Flintshire,0.0
military_history,funding_total,Arts and Humanities,Flintshire,0.0
minerals_fuels,funding_total,Environmental Sciences,Flintshire,0.0
modelling_&_sensors,funding_total,Environmental Sciences,Flintshire,881354.0
modelling_measurement,funding_total,Mathematics and Computing,Flintshire,8214340.0
networks,funding_total,Mathematics and Computing,Flintshire,0.0
neurology,funding_total,Medical Science,Flintshire,0.0
neuroscience,funding_total,Life Sciences,Flintshire,278698.0
nutrition_health,funding_total,Life Sciences,Flintshire,0.0
obesity_metabolism,funding_total,Medical Science,Flintshire,0.0
particle_physics,funding_total,Physics,Flintshire,0.0
philosophy,funding_total,Arts and Humanities,Flintshire,0.0
photonics_imaging_quantum,funding_total,Engineering and Technology,Flintshire,7671745.0
political_history,funding_total,Arts and Humanities,Flintshire,0.0
prosthetics_robotics_health,funding_total,Engineering and Technology,Flintshire,9657107.0
psychiatry_mental_health,funding_total,Medical Science,Flintshire,0.0
psychology,funding_total,Social Sciences,Flintshire,0.0
public_engagement_infrastructure,funding_total,Physics,Flintshire,10000.0
reproduction_fertility,funding_total,Medical Science,Flintshire,0.0
respiratory_system,funding_total,Medical Science,Flintshire,0.0
robotics_cybernetics,funding_total,Mathematics and Computing,Flintshire,0.0
security,funding_total,Engineering and Technology,Flintshire,0.0
sensors_data_telescopy,funding_total,Physics,Flintshire,0.0
social_care,funding_total,Social Sciences,Flintshire,0.0
social_history,funding_total,Arts and Humanities,Flintshire,5699190.0
social_history_identity,funding_total,Arts and Humanities,Flintshire,0.0
sociology,funding_total,Social Sciences,Flintshire,1842770.0
statistics_data_analysis,funding_total,Mathematics and Computing,Flintshire,0.0
surgert_cardiology,funding_total,Medical Science,Flintshire,0.0
systems_infrastructure,funding_total,Engineering and Technology,Flintshire,30481882.0
theoretical_physics,funding_total,Physics,Flintshire,0.0
transport_communications,funding_total,Mathematics and Computing,Flintshire,13800.0
visual,funding_total,Arts and Humanities,Flintshire,13800.0
ageing,count_lq,Medical Science,Wrexham,0.0
agriculture_plant_biology_entomology,count_lq,Life Sciences,Wrexham,1.9889121666880445
applications_devices_users,count_lq,Mathematics and Computing,Wrexham,0.7630430741303705
archaeology,count_lq,Arts and Humanities,Wrexham,7.330391847883179
architecture_spatial,count_lq,Arts and Humanities,Wrexham,0.0
astronomy,count_lq,Physics,Wrexham,0.0
astrophysics,count_lq,Physics,Wrexham,3.0078020604336397
bio_informatics,count_lq,Life Sciences,Wrexham,0.0
biopharmaceuticals,count_lq,Life Sciences,Wrexham,0.0
bones_muscles,count_lq,Life Sciences,Wrexham,0.0
carbon_greenhouse_pollution,count_lq,Environmental Sciences,Wrexham,0.0
cells_cancer,count_lq,Medical Science,Wrexham,0.0
cellular_biology_cancer,count_lq,Life Sciences,Wrexham,0.0
chemistry_biochemistry,count_lq,Engineering and Technology,Wrexham,0.7597282407508219
classic_religious_history,count_lq,Arts and Humanities,Wrexham,0.0
climate_science,count_lq,Environmental Sciences,Wrexham,1.4775804931762115
cognition_&_audio,count_lq,Mathematics and Computing,Wrexham,0.0
computer_science,count_lq,Mathematics and Computing,Wrexham,0.0
computer_vision,count_lq,Mathematics and Computing,Wrexham,0.0
cosmology,count_lq,Physics,Wrexham,0.0
criminology_violence,count_lq,Social Sciences,Wrexham,0.0
cyber_security,count_lq,Mathematics and Computing,Wrexham,0.0
data_methods,count_lq,Medical Science,Wrexham,0.0
design_&_heritage,count_lq,Arts and Humanities,Wrexham,0.5108535701473742
development_studies,count_lq,Social Sciences,Wrexham,0.0
disease_infection_health,count_lq,Medical Science,Wrexham,0.0
drug_tests,count_lq,Medical Science,Wrexham,0.0
economics,count_lq,Social Sciences,Wrexham,0.0
ecosystems,count_lq,Environmental Sciences,Wrexham,0.639367394810145
education,count_lq,Social Sciences,Wrexham,0.0
electronics_transistors,count_lq,Engineering and Technology,Wrexham,1.950877192982456
energy_environmental,count_lq,Engineering and Technology,Wrexham,4.423398152110176
energy_transport_technology,count_lq,Engineering and Technology,Wrexham,2.403485808762744
environment,count_lq,Social Sciences,Wrexham,0.0
environmental_policy,count_lq,Environmental Sciences,Wrexham,2.5123315883085744
epidemiology_immunology,count_lq,Life Sciences,Wrexham,0.0
evidence_for_policy,count_lq,Social Sciences,Wrexham,0.0
experiments,count_lq,Medical Science,Wrexham,0.0
gender_sexuality,count_lq,Social Sciences,Wrexham,0.0
genetics,count_lq,Medical Science,Wrexham,0.0
geology,count_lq,Environmental Sciences,Wrexham,0.0
health_interventions_policy,count_lq,Medical Science,Wrexham,0.0
health_social_issues,count_lq,Arts and Humanities,Wrexham,0.0
hidrology,count_lq,Environmental Sciences,Wrexham,0.0
imaging,count_lq,Life Sciences,Wrexham,0.0
industrial_application,count_lq,Life Sciences,Wrexham,2.03182645410206
ionisation_plasma,count_lq,Engineering and Technology,Wrexham,2.8013167931269822
law,count_lq,Social Sciences,Wrexham,0.0
linguistics,count_lq,Arts and Humanities,Wrexham,0.0
literature,count_lq,Arts and Humanities,Wrexham,0.0
management,count_lq,Social Sciences,Wrexham,2.2996407738193323
materials,count_lq,Engineering and Technology,Wrexham,4.024686373467916
mathematics,count_lq,Mathematics and Computing,Wrexham,0.0
media_performance,count_lq,Arts and Humanities,Wrexham,0.0
medieval_modern_history,count_lq,Arts and Humanities,Wrexham,1.4240117548621456
migration_colonial_history,count_lq,Arts and Humanities,Wrexham,0.0
military_history,count_lq,Arts and Humanities,Wrexham,0.0
minerals_fuels,count_lq,Environmental Sciences,Wrexham,0.0
modelling_&_sensors,count_lq,Environmental Sciences,Wrexham,0.0
modelling_measurement,count_lq,Mathematics and Computing,Wrexham,0.0
networks,count_lq,Mathematics and Computing,Wrexham,0.0
neurology,count_lq,Medical Science,Wrexham,0.0
neuroscience,count_lq,Life Sciences,Wrexham,0.0
nutrition_health,count_lq,Life Sciences,Wrexham,0.0
obesity_metabolism,count_lq,Medical Science,Wrexham,0.0
particle_physics,count_lq,Physics,Wrexham,0.0
philosophy,count_lq,Arts and Humanities,Wrexham,0.0
photonics_imaging_quantum,count_lq,Engineering and Technology,Wrexham,4.9595223710863925
political_history,count_lq,Arts and Humanities,Wrexham,0.0
prosthetics_robotics_health,count_lq,Engineering and Technology,Wrexham,0.7416248618314769
psychiatry_mental_health,count_lq,Medical Science,Wrexham,0.0
psychology,count_lq,Social Sciences,Wrexham,0.0
public_engagement_infrastructure,count_lq,Physics,Wrexham,0.0
reproduction_fertility,count_lq,Medical Science,Wrexham,0.0
respiratory_system,count_lq,Medical Science,Wrexham,0.0
robotics_cybernetics,count_lq,Mathematics and Computing,Wrexham,4.8967017543859646
security,count_lq,Engineering and Technology,Wrexham,0.0
sensors_data_telescopy,count_lq,Physics,Wrexham,0.0
social_care,count_lq,Social Sciences,Wrexham,0.0
social_history,count_lq,Arts and Humanities,Wrexham,0.0
social_history_identity,count_lq,Arts and Humanities,Wrexham,0.0
sociology,count_lq,Social Sciences,Wrexham,0.0
statistics_data_analysis,count_lq,Mathematics and Computing,Wrexham,0.0
surgert_cardiology,count_lq,Medical Science,Wrexham,0.0
systems_infrastructure,count_lq,Engineering and Technology,Wrexham,2.0926075873444288
theoretical_physics,count_lq,Physics,Wrexham,0.0
transport_communications,count_lq,Mathematics and Computing,Wrexham,0.0
visual,count_lq,Arts and Humanities,Wrexham,0.0
ageing,count_total,Medical Science,Wrexham,0.0
agriculture_plant_biology_entomology,count_total,Life Sciences,Wrexham,2.0
applications_devices_users,count_total,Mathematics and Computing,Wrexham,1.0
archaeology,count_total,Arts and Humanities,Wrexham,1.0
architecture_spatial,count_total,Arts and Humanities,Wrexham,0.0
astronomy,count_total,Physics,Wrexham,0.0
astrophysics,count_total,Physics,Wrexham,1.0
bio_informatics,count_total,Life Sciences,Wrexham,0.0
biopharmaceuticals,count_total,Life Sciences,Wrexham,0.0
bones_muscles,count_total,Life Sciences,Wrexham,0.0
carbon_greenhouse_pollution,count_total,Environmental Sciences,Wrexham,0.0
cells_cancer,count_total,Medical Science,Wrexham,0.0
cellular_biology_cancer,count_total,Life Sciences,Wrexham,0.0
chemistry_biochemistry,count_total,Engineering and Technology,Wrexham,1.0
classic_religious_history,count_total,Arts and Humanities,Wrexham,0.0
climate_science,count_total,Environmental Sciences,Wrexham,2.0
cognition_&_audio,count_total,Mathematics and Computing,Wrexham,0.0
computer_science,count_total,Mathematics and Computing,Wrexham,0.0
computer_vision,count_total,Mathematics and Computing,Wrexham,0.0
cosmology,count_total,Physics,Wrexham,0.0
criminology_violence,count_total,Social Sciences,Wrexham,0.0
cyber_security,count_total,Mathematics and Computing,Wrexham,0.0
data_methods,count_total,Medical Science,Wrexham,0.0
design_&_heritage,count_total,Arts and Humanities,Wrexham,1.0
development_studies,count_total,Social Sciences,Wrexham,0.0
disease_infection_health,count_total,Medical Science,Wrexham,0.0
drug_tests,count_total,Medical Science,Wrexham,0.0
economics,count_total,Social Sciences,Wrexham,0.0
ecosystems,count_total,Environmental Sciences,Wrexham,1.0
education,count_total,Social Sciences,Wrexham,0.0
electronics_transistors,count_total,Engineering and Technology,Wrexham,2.0
energy_environmental,count_total,Engineering and Technology,Wrexham,8.0
energy_transport_technology,count_total,Engineering and Technology,Wrexham,3.0
environment,count_total,Social Sciences,Wrexham,0.0
environmental_policy,count_total,Environmental Sciences,Wrexham,5.0
epidemiology_immunology,count_total,Life Sciences,Wrexham,0.0
evidence_for_policy,count_total,Social Sciences,Wrexham,0.0
experiments,count_total,Medical Science,Wrexham,0.0
gender_sexuality,count_total,Social Sciences,Wrexham,0.0
genetics,count_total,Medical Science,Wrexham,0.0
geology,count_total,Environmental Sciences,Wrexham,0.0
health_interventions_policy,count_total,Medical Science,Wrexham,0.0
health_social_issues,count_total,Arts and Humanities,Wrexham,0.0
hidrology,count_total,Environmental Sciences,Wrexham,0.0
imaging,count_total,Life Sciences,Wrexham,0.0
industrial_application,count_total,Life Sciences,Wrexham,2.0
ionisation_plasma,count_total,Engineering and Technology,Wrexham,1.0
law,count_total,Social Sciences,Wrexham,0.0
linguistics,count_total,Arts and Humanities,Wrexham,0.0
literature,count_total,Arts and Humanities,Wrexham,0.0
management,count_total,Social Sciences,Wrexham,1.0
materials,count_total,Engineering and Technology,Wrexham,4.0
mathematics,count_total,Mathematics and Computing,Wrexham,0.0
media_performance,count_total,Arts and Humanities,Wrexham,0.0
medieval_modern_history,count_total,Arts and Humanities,Wrexham,1.0
migration_colonial_history,count_total,Arts and Humanities,Wrexham,0.0
military_history,count_total,Arts and Humanities,Wrexham,0.0
minerals_fuels,count_total,Environmental Sciences,Wrexham,0.0
modelling_&_sensors,count_total,Environmental Sciences,Wrexham,0.0
modelling_measurement,count_total,Mathematics and Computing,Wrexham,0.0
networks,count_total,Mathematics and Computing,Wrexham,0.0
neurology,count_total,Medical Science,Wrexham,0.0
neuroscience,count_total,Life Sciences,Wrexham,0.0
nutrition_health,count_total,Life Sciences,Wrexham,0.0
obesity_metabolism,count_total,Medical Science,Wrexham,0.0
particle_physics,count_total,Physics,Wrexham,0.0
philosophy,count_total,Arts and Humanities,Wrexham,0.0
photonics_imaging_quantum,count_total,Engineering and Technology,Wrexham,8.0
political_history,count_total,Arts and Humanities,Wrexham,0.0
prosthetics_robotics_health,count_total,Engineering and Technology,Wrexham,1.0
psychiatry_mental_health,count_total,Medical Science,Wrexham,0.0
psychology,count_total,Social Sciences,Wrexham,0.0
public_engagement_infrastructure,count_total,Physics,Wrexham,0.0
reproduction_fertility,count_total,Medical Science,Wrexham,0.0
respiratory_system,count_total,Medical Science,Wrexham,0.0
robotics_cybernetics,count_total,Mathematics and Computing,Wrexham,1.0
security,count_total,Engineering and Technology,Wrexham,0.0
sensors_data_telescopy,count_total,Physics,Wrexham,0.0
social_care,count_total,Social Sciences,Wrexham,0.0
social_history,count_total,Arts and Humanities,Wrexham,0.0
social_history_identity,count_total,Arts and Humanities,Wrexham,0.0
sociology,count_total,Social Sciences,Wrexham,0.0
statistics_data_analysis,count_total,Mathematics and Computing,Wrexham,0.0
surgert_cardiology,count_total,Medical Science,Wrexham,0.0
systems_infrastructure,count_total,Engineering and Technology,Wrexham,10.0
theoretical_physics,count_total,Physics,Wrexham,0.0
transport_communications,count_total,Mathematics and Computing,Wrexham,0.0
visual,count_total,Arts and Humanities,Wrexham,0.0
ageing,funding_lq,Medical Science,Wrexham,0.0
agriculture_plant_biology_entomology,funding_lq,Life Sciences,Wrexham,1.0512260129195559
applications_devices_users,funding_lq,Mathematics and Computing,Wrexham,0.048471595532729186
archaeology,funding_lq,Arts and Humanities,Wrexham,21.306624936840194
architecture_spatial,funding_lq,Arts and Humanities,Wrexham,0.0
astronomy,funding_lq,Physics,Wrexham,0.0
astrophysics,funding_lq,Physics,Wrexham,7.240418690804399
bio_informatics,funding_lq,Life Sciences,Wrexham,0.0
biopharmaceuticals,funding_lq,Life Sciences,Wrexham,0.0
bones_muscles,funding_lq,Life Sciences,Wrexham,0.0
carbon_greenhouse_pollution,funding_lq,Environmental Sciences,Wrexham,0.0
cells_cancer,funding_lq,Medical Science,Wrexham,0.0
cellular_biology_cancer,funding_lq,Life Sciences,Wrexham,0.0
chemistry_biochemistry,funding_lq,Engineering and Technology,Wrexham,0.055030781125105135
classic_religious_history,funding_lq,Arts and Humanities,Wrexham,0.0
climate_science,funding_lq,Environmental Sciences,Wrexham,1.2101613132822462
cognition_&_audio,funding_lq,Mathematics and Computing,Wrexham,0.0
computer_science,funding_lq,Mathematics and Computing,Wrexham,0.0
computer_vision,funding_lq,Mathematics and Computing,Wrexham,0.0
cosmology,funding_lq,Physics,Wrexham,0.0
criminology_violence,funding_lq,Social Sciences,Wrexham,0.0
cyber_security,funding_lq,Mathematics and Computing,Wrexham,0.0
data_methods,funding_lq,Medical Science,Wrexham,0.0
design_&_heritage,funding_lq,Arts and Humanities,Wrexham,0.6397099463855535
development_studies,funding_lq,Social Sciences,Wrexham,0.0
disease_infection_health,funding_lq,Medical Science,Wrexham,0.0
drug_tests,funding_lq,Medical Science,Wrexham,0.0
economics,funding_lq,Social Sciences,Wrexham,0.0
ecosystems,funding_lq,Environmental Sciences,Wrexham,0.13818199333404976
education,funding_lq,Social Sciences,Wrexham,0.0
electronics_transistors,funding_lq,Engineering and Technology,Wrexham,0.4829463682230522
energy_environmental,funding_lq,Engineering and Technology,Wrexham,4.22786164999784
energy_transport_technology,funding_lq,Engineering and Technology,Wrexham,2.2026934664284576
environment,funding_lq,Social Sciences,Wrexham,0.0
environmental_policy,funding_lq,Environmental Sciences,Wrexham,1.0578463870756278
epidemiology_immunology,funding_lq,Life Sciences,Wrexham,0.0
evidence_for_policy,funding_lq,Social Sciences,Wrexham,0.0
experiments,funding_lq,Medical Science,Wrexham,0.0
gender_sexuality,funding_lq,Social Sciences,Wrexham,0.0
genetics,funding_lq,Medical Science,Wrexham,0.0
geology,funding_lq,Environmental Sciences,Wrexham,0.0
health_interventions_policy,funding_lq,Medical Science,Wrexham,0.0
health_social_issues,funding_lq,Arts and Humanities,Wrexham,0.0
hidrology,funding_lq,Environmental Sciences,Wrexham,0.0
imaging,funding_lq,Life Sciences,Wrexham,0.0
industrial_application,funding_lq,Life Sciences,Wrexham,0.3666815693298819
ionisation_plasma,funding_lq,Engineering and Technology,Wrexham,3.6787333110711384
law,funding_lq,Social Sciences,Wrexham,0.0
linguistics,funding_lq,Arts and Humanities,Wrexham,0.0
literature,funding_lq,Arts and Humanities,Wrexham,0.0
management,funding_lq,Social Sciences,Wrexham,1.4521883275493344
materials,funding_lq,Engineering and Technology,Wrexham,3.60858258991136
mathematics,funding_lq,Mathematics and Computing,Wrexham,0.0
media_performance,funding_lq,Arts and Humanities,Wrexham,0.0
medieval_modern_history,funding_lq,Arts and Humanities,Wrexham,5.576349070431089
migration_colonial_history,funding_lq,Arts and Humanities,Wrexham,0.0
military_history,funding_lq,Arts and Humanities,Wrexham,0.0
minerals_fuels,funding_lq,Environmental Sciences,Wrexham,0.0
modelling_&_sensors,funding_lq,Environmental Sciences,Wrexham,0.0
modelling_measurement,funding_lq,Mathematics and Computing,Wrexham,0.0
networks,funding_lq,Mathematics and Computing,Wrexham,0.0
neurology,funding_lq,Medical Science,Wrexham,0.0
neuroscience,funding_lq,Life Sciences,Wrexham,0.0
nutrition_health,funding_lq,Life Sciences,Wrexham,0.0
obesity_metabolism,funding_lq,Medical Science,Wrexham,0.0
particle_physics,funding_lq,Physics,Wrexham,0.0
philosophy,funding_lq,Arts and Humanities,Wrexham,0.0
photonics_imaging_quantum,funding_lq,Engineering and Technology,Wrexham,4.108670829803682
political_history,funding_lq,Arts and Humanities,Wrexham,0.0
prosthetics_robotics_health,funding_lq,Engineering and Technology,Wrexham,1.6263169807511129
psychiatry_mental_health,funding_lq,Medical Science,Wrexham,0.0
psychology,funding_lq,Social Sciences,Wrexham,0.0
public_engagement_infrastructure,funding_lq,Physics,Wrexham,0.0
reproduction_fertility,funding_lq,Medical Science,Wrexham,0.0
respiratory_system,funding_lq,Medical Science,Wrexham,0.0
robotics_cybernetics,funding_lq,Mathematics and Computing,Wrexham,0.8655994491672734
security,funding_lq,Engineering and Technology,Wrexham,0.0
sensors_data_telescopy,funding_lq,Physics,Wrexham,0.0
social_care,funding_lq,Social Sciences,Wrexham,0.0
social_history,funding_lq,Arts and Humanities,Wrexham,0.0
social_history_identity,funding_lq,Arts and Humanities,Wrexham,0.0
sociology,funding_lq,Social Sciences,Wrexham,0.0
statistics_data_analysis,funding_lq,Mathematics and Computing,Wrexham,0.0
surgert_cardiology,funding_lq,Medical Science,Wrexham,0.0
systems_infrastructure,funding_lq,Engineering and Technology,Wrexham,1.559803836510532
theoretical_physics,funding_lq,Physics,Wrexham,0.0
transport_communications,funding_lq,Mathematics and Computing,Wrexham,0.0
visual,funding_lq,Arts and Humanities,Wrexham,0.0
ageing,funding_total,Medical Science,Wrexham,0.0
agriculture_plant_biology_entomology,funding_total,Life Sciences,Wrexham,572481.0
applications_devices_users,funding_total,Mathematics and Computing,Wrexham,115463.0
archaeology,funding_total,Arts and Humanities,Wrexham,785784.0
architecture_spatial,funding_total,Arts and Humanities,Wrexham,0.0
astronomy,funding_total,Physics,Wrexham,0.0
astrophysics,funding_total,Physics,Wrexham,1666200.0
bio_informatics,funding_total,Life Sciences,Wrexham,0.0
biopharmaceuticals,funding_total,Life Sciences,Wrexham,0.0
bones_muscles,funding_total,Life Sciences,Wrexham,0.0
carbon_greenhouse_pollution,funding_total,Environmental Sciences,Wrexham,0.0
cells_cancer,funding_total,Medical Science,Wrexham,0.0
cellular_biology_cancer,funding_total,Life Sciences,Wrexham,0.0
chemistry_biochemistry,funding_total,Engineering and Technology,Wrexham,72078.0
classic_religious_history,funding_total,Arts and Humanities,Wrexham,0.0
climate_science,funding_total,Environmental Sciences,Wrexham,544799.0
cognition_&_audio,funding_total,Mathematics and Computing,Wrexham,0.0
computer_science,funding_total,Mathematics and Computing,Wrexham,0.0
computer_vision,funding_total,Mathematics and Computing,Wrexham,0.0
cosmology,funding_total,Physics,Wrexham,0.0
criminology_violence,funding_total,Social Sciences,Wrexham,0.0
cyber_security,funding_total,Mathematics and Computing,Wrexham,0.0
data_methods,funding_total,Medical Science,Wrexham,0.0
design_&_heritage,funding_total,Arts and Humanities,Wrexham,785784.0
development_studies,funding_total,Social Sciences,Wrexham,0.0
disease_infection_health,funding_total,Medical Science,Wrexham,0.0
drug_tests,funding_total,Medical Science,Wrexham,0.0
economics,funding_total,Social Sciences,Wrexham,0.0
ecosystems,funding_total,Environmental Sciences,Wrexham,89922.0
education,funding_total,Social Sciences,Wrexham,0.0
electronics_transistors,funding_total,Engineering and Technology,Wrexham,463431.0
energy_environmental,funding_total,Engineering and Technology,Wrexham,9090315.0
energy_transport_technology,funding_total,Engineering and Technology,Wrexham,2957470.0
environment,funding_total,Social Sciences,Wrexham,0.0
environmental_policy,funding_total,Environmental Sciences,Wrexham,1974637.0
epidemiology_immunology,funding_total,Life Sciences,Wrexham,0.0
evidence_for_policy,funding_total,Social Sciences,Wrexham,0.0
experiments,funding_total,Medical Science,Wrexham,0.0
gender_sexuality,funding_total,Social Sciences,Wrexham,0.0
genetics,funding_total,Medical Science,Wrexham,0.0
geology,funding_total,Environmental Sciences,Wrexham,0.0
health_interventions_policy,funding_total,Medical Science,Wrexham,0.0
health_social_issues,funding_total,Arts and Humanities,Wrexham,0.0
hidrology,funding_total,Environmental Sciences,Wrexham,0.0
imaging,funding_total,Life Sciences,Wrexham,0.0
industrial_application,funding_total,Life Sciences,Wrexham,572481.0
ionisation_plasma,funding_total,Engineering and Technology,Wrexham,1666200.0
law,funding_total,Social Sciences,Wrexham,0.0
linguistics,funding_total,Arts and Humanities,Wrexham,0.0
literature,funding_total,Arts and Humanities,Wrexham,0.0
management,funding_total,Social Sciences,Wrexham,454877.0
materials,funding_total,Engineering and Technology,Wrexham,4046141.0
mathematics,funding_total,Mathematics and Computing,Wrexham,0.0
media_performance,funding_total,Arts and Humanities,Wrexham,0.0
medieval_modern_history,funding_total,Arts and Humanities,Wrexham,785784.0
migration_colonial_history,funding_total,Arts and Humanities,Wrexham,0.0
military_history,funding_total,Arts and Humanities,Wrexham,0.0
minerals_fuels,funding_total,Environmental Sciences,Wrexham,0.0
modelling_&_sensors,funding_total,Environmental Sciences,Wrexham,0.0
modelling_measurement,funding_total,Mathematics and Computing,Wrexham,0.0
networks,funding_total,Mathematics and Computing,Wrexham,0.0
neurology,funding_total,Medical Science,Wrexham,0.0
neuroscience,funding_total,Life Sciences,Wrexham,0.0
nutrition_health,funding_total,Life Sciences,Wrexham,0.0
obesity_metabolism,funding_total,Medical Science,Wrexham,0.0
particle_physics,funding_total,Physics,Wrexham,0.0
philosophy,funding_total,Arts and Humanities,Wrexham,0.0
photonics_imaging_quantum,funding_total,Engineering and Technology,Wrexham,8729368.0
political_history,funding_total,Arts and Humanities,Wrexham,0.0
prosthetics_robotics_health,funding_total,Engineering and Technology,Wrexham,3204590.0
psychiatry_mental_health,funding_total,Medical Science,Wrexham,0.0
psychology,funding_total,Social Sciences,Wrexham,0.0
public_engagement_infrastructure,funding_total,Physics,Wrexham,0.0
reproduction_fertility,funding_total,Medical Science,Wrexham,0.0
respiratory_system,funding_total,Medical Science,Wrexham,0.0
robotics_cybernetics,funding_total,Mathematics and Computing,Wrexham,115463.0
security,funding_total,Engineering and Technology,Wrexham,0.0
sensors_data_telescopy,funding_total,Physics,Wrexham,0.0
social_care,funding_total,Social Sciences,Wrexham,0.0
social_history,funding_total,Arts and Humanities,Wrexham,0.0
social_history_identity,funding_total,Arts and Humanities,Wrexham,0.0
sociology,funding_total,Social Sciences,Wrexham,0.0
statistics_data_analysis,funding_total,Mathematics and Computing,Wrexham,0.0
surgert_cardiology,funding_total,Medical Science,Wrexham,0.0
systems_infrastructure,funding_total,Engineering and Technology,Wrexham,13123104.0
theoretical_physics,funding_total,Physics,Wrexham,0.0
transport_communications,funding_total,Mathematics and Computing,Wrexham,0.0
visual,funding_total,Arts and Humanities,Wrexham,0.0
ageing,count_lq,Medical Science,Powys,0.0
agriculture_plant_biology_entomology,count_lq,Life Sciences,Powys,3.334352750035839
applications_devices_users,count_lq,Mathematics and Computing,Powys,1.705625695114946
archaeology,count_lq,Arts and Humanities,Powys,0.0
architecture_spatial,count_lq,Arts and Humanities,Powys,0.0
astronomy,count_lq,Physics,Powys,0.0
astrophysics,count_lq,Physics,Powys,0.0
bio_informatics,count_lq,Life Sciences,Powys,3.6147848835703367
biopharmaceuticals,count_lq,Life Sciences,Powys,0.0
bones_muscles,count_lq,Life Sciences,Powys,0.0
carbon_greenhouse_pollution,count_lq,Environmental Sciences,Powys,0.0
cells_cancer,count_lq,Medical Science,Powys,0.0
