,research_topic,metric,discipline,year,location,value
7687,bio_informatics,count_total,Life Sciences,2007_2008,Denbighshire,0.0
7688,biopharmaceuticals,count_total,Life Sciences,2007_2008,Denbighshire,0.0
7689,bones_muscles,count_total,Life Sciences,2007_2008,Denbighshire,0.0
7690,carbon_greenhouse_pollution,count_total,Environmental Sciences,2007_2008,Denbighshire,0.0
7691,cells_cancer,count_total,Medical Science,2007_2008,Denbighshire,0.0
7692,cellular_biology_cancer,count_total,Life Sciences,2007_2008,Denbighshire,0.0
7693,chemistry_biochemistry,count_total,Engineering and Technology,2007_2008,Denbighshire,0.0
7694,classic_religious_history,count_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7695,climate_science,count_total,Environmental Sciences,2007_2008,Denbighshire,0.0
7696,cognition_&_audio,count_total,Mathematics and Computing,2007_2008,Denbighshire,0.0
7697,computer_science,count_total,Mathematics and Computing,2007_2008,Denbighshire,0.0
7698,computer_vision,count_total,Mathematics and Computing,2007_2008,Denbighshire,0.0
7699,cosmology,count_total,Physics,2007_2008,Denbighshire,0.0
7700,criminology_violence,count_total,Social Sciences,2007_2008,Denbighshire,0.0
7701,cyber_security,count_total,Mathematics and Computing,2007_2008,Denbighshire,0.0
7702,data_methods,count_total,Medical Science,2007_2008,Denbighshire,0.0
7703,design_&_heritage,count_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7704,development_studies,count_total,Social Sciences,2007_2008,Denbighshire,0.0
7705,disease_infection_health,count_total,Medical Science,2007_2008,Denbighshire,0.0
7706,drug_tests,count_total,Medical Science,2007_2008,Denbighshire,0.0
7707,economics,count_total,Social Sciences,2007_2008,Denbighshire,0.0
7708,ecosystems,count_total,Environmental Sciences,2007_2008,Denbighshire,0.0
7709,education,count_total,Social Sciences,2007_2008,Denbighshire,0.0
7710,electronics_transistors,count_total,Engineering and Technology,2007_2008,Denbighshire,0.0
7711,energy_environmental,count_total,Engineering and Technology,2007_2008,Denbighshire,0.0
7712,energy_transport_technology,count_total,Engineering and Technology,2007_2008,Denbighshire,0.0
7713,environment,count_total,Social Sciences,2007_2008,Denbighshire,0.0
7714,environmental_policy,count_total,Environmental Sciences,2007_2008,Denbighshire,0.0
7715,epidemiology_immunology,count_total,Life Sciences,2007_2008,Denbighshire,0.0
7716,evidence_for_policy,count_total,Social Sciences,2007_2008,Denbighshire,0.0
7717,experiments,count_total,Medical Science,2007_2008,Denbighshire,0.0
7718,gender_sexuality,count_total,Social Sciences,2007_2008,Denbighshire,0.0
7719,genetics,count_total,Medical Science,2007_2008,Denbighshire,0.0
7720,geology,count_total,Environmental Sciences,2007_2008,Denbighshire,0.0
7721,health_interventions_policy,count_total,Medical Science,2007_2008,Denbighshire,0.0
7722,health_social_issues,count_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7723,hidrology,count_total,Environmental Sciences,2007_2008,Denbighshire,0.0
7724,imaging,count_total,Life Sciences,2007_2008,Denbighshire,0.0
7725,industrial_application,count_total,Life Sciences,2007_2008,Denbighshire,0.0
7726,ionisation_plasma,count_total,Engineering and Technology,2007_2008,Denbighshire,0.0
7727,law,count_total,Social Sciences,2007_2008,Denbighshire,0.0
7728,linguistics,count_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7729,literature,count_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7730,management,count_total,Social Sciences,2007_2008,Denbighshire,0.0
7731,materials,count_total,Engineering and Technology,2007_2008,Denbighshire,0.0
7732,mathematics,count_total,Mathematics and Computing,2007_2008,Denbighshire,0.0
7733,media_performance,count_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7734,medieval_modern_history,count_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7735,migration_colonial_history,count_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7736,military_history,count_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7737,minerals_fuels,count_total,Environmental Sciences,2007_2008,Denbighshire,0.0
7738,modelling_&_sensors,count_total,Environmental Sciences,2007_2008,Denbighshire,0.0
7739,modelling_measurement,count_total,Mathematics and Computing,2007_2008,Denbighshire,0.0
7740,networks,count_total,Mathematics and Computing,2007_2008,Denbighshire,0.0
7741,neurology,count_total,Medical Science,2007_2008,Denbighshire,0.0
7742,neuroscience,count_total,Life Sciences,2007_2008,Denbighshire,0.0
7743,nutrition_health,count_total,Life Sciences,2007_2008,Denbighshire,0.0
7744,obesity_metabolism,count_total,Medical Science,2007_2008,Denbighshire,0.0
7745,particle_physics,count_total,Physics,2007_2008,Denbighshire,0.0
7746,philosophy,count_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7747,photonics_imaging_quantum,count_total,Engineering and Technology,2007_2008,Denbighshire,0.0
7748,political_history,count_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7749,prosthetics_robotics_health,count_total,Engineering and Technology,2007_2008,Denbighshire,0.0
7750,psychiatry_mental_health,count_total,Medical Science,2007_2008,Denbighshire,0.0
7751,psychology,count_total,Social Sciences,2007_2008,Denbighshire,0.0
7752,public_engagement_infrastructure,count_total,Physics,2007_2008,Denbighshire,0.0
7753,reproduction_fertility,count_total,Medical Science,2007_2008,Denbighshire,0.0
7754,respiratory_system,count_total,Medical Science,2007_2008,Denbighshire,0.0
7755,robotics_cybernetics,count_total,Mathematics and Computing,2007_2008,Denbighshire,0.0
7756,security,count_total,Engineering and Technology,2007_2008,Denbighshire,0.0
7757,sensors_data_telescopy,count_total,Physics,2007_2008,Denbighshire,0.0
7758,social_care,count_total,Social Sciences,2007_2008,Denbighshire,0.0
7759,social_history,count_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7760,social_history_identity,count_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7761,sociology,count_total,Social Sciences,2007_2008,Denbighshire,0.0
7762,statistics_data_analysis,count_total,Mathematics and Computing,2007_2008,Denbighshire,0.0
7763,surgert_cardiology,count_total,Medical Science,2007_2008,Denbighshire,0.0
7764,systems_infrastructure,count_total,Engineering and Technology,2007_2008,Denbighshire,0.0
7765,theoretical_physics,count_total,Physics,2007_2008,Denbighshire,0.0
7766,transport_communications,count_total,Mathematics and Computing,2007_2008,Denbighshire,0.0
7767,visual,count_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7768,ageing,count_lq,Medical Science,2007_2008,Denbighshire,0.0
7769,agriculture_plant_biology_entomology,count_lq,Life Sciences,2007_2008,Denbighshire,0.0
7770,applications_devices_users,count_lq,Mathematics and Computing,2007_2008,Denbighshire,0.0
7771,archaeology,count_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
7772,architecture_spatial,count_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
7773,astronomy,count_lq,Physics,2007_2008,Denbighshire,0.0
7774,astrophysics,count_lq,Physics,2007_2008,Denbighshire,0.0
7775,bio_informatics,count_lq,Life Sciences,2007_2008,Denbighshire,0.0
7776,biopharmaceuticals,count_lq,Life Sciences,2007_2008,Denbighshire,0.0
7777,bones_muscles,count_lq,Life Sciences,2007_2008,Denbighshire,0.0
7778,carbon_greenhouse_pollution,count_lq,Environmental Sciences,2007_2008,Denbighshire,0.0
7779,cells_cancer,count_lq,Medical Science,2007_2008,Denbighshire,0.0
7780,cellular_biology_cancer,count_lq,Life Sciences,2007_2008,Denbighshire,0.0
7781,chemistry_biochemistry,count_lq,Engineering and Technology,2007_2008,Denbighshire,0.0
7782,classic_religious_history,count_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
7783,climate_science,count_lq,Environmental Sciences,2007_2008,Denbighshire,0.0
7784,cognition_&_audio,count_lq,Mathematics and Computing,2007_2008,Denbighshire,0.0
7785,computer_science,count_lq,Mathematics and Computing,2007_2008,Denbighshire,0.0
7786,computer_vision,count_lq,Mathematics and Computing,2007_2008,Denbighshire,0.0
7787,cosmology,count_lq,Physics,2007_2008,Denbighshire,0.0
7788,criminology_violence,count_lq,Social Sciences,2007_2008,Denbighshire,0.0
7789,cyber_security,count_lq,Mathematics and Computing,2007_2008,Denbighshire,0.0
7790,data_methods,count_lq,Medical Science,2007_2008,Denbighshire,0.0
7791,design_&_heritage,count_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
7792,development_studies,count_lq,Social Sciences,2007_2008,Denbighshire,0.0
7793,disease_infection_health,count_lq,Medical Science,2007_2008,Denbighshire,0.0
7794,drug_tests,count_lq,Medical Science,2007_2008,Denbighshire,0.0
7795,economics,count_lq,Social Sciences,2007_2008,Denbighshire,0.0
7796,ecosystems,count_lq,Environmental Sciences,2007_2008,Denbighshire,0.0
7797,education,count_lq,Social Sciences,2007_2008,Denbighshire,0.0
7798,electronics_transistors,count_lq,Engineering and Technology,2007_2008,Denbighshire,0.0
7799,energy_environmental,count_lq,Engineering and Technology,2007_2008,Denbighshire,0.0
7800,energy_transport_technology,count_lq,Engineering and Technology,2007_2008,Denbighshire,0.0
7801,environment,count_lq,Social Sciences,2007_2008,Denbighshire,0.0
7802,environmental_policy,count_lq,Environmental Sciences,2007_2008,Denbighshire,0.0
7803,epidemiology_immunology,count_lq,Life Sciences,2007_2008,Denbighshire,0.0
7804,evidence_for_policy,count_lq,Social Sciences,2007_2008,Denbighshire,0.0
7805,experiments,count_lq,Medical Science,2007_2008,Denbighshire,0.0
7806,gender_sexuality,count_lq,Social Sciences,2007_2008,Denbighshire,0.0
7807,genetics,count_lq,Medical Science,2007_2008,Denbighshire,0.0
7808,geology,count_lq,Environmental Sciences,2007_2008,Denbighshire,0.0
7809,health_interventions_policy,count_lq,Medical Science,2007_2008,Denbighshire,0.0
7810,health_social_issues,count_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
7811,hidrology,count_lq,Environmental Sciences,2007_2008,Denbighshire,0.0
7812,imaging,count_lq,Life Sciences,2007_2008,Denbighshire,0.0
7813,industrial_application,count_lq,Life Sciences,2007_2008,Denbighshire,0.0
7814,ionisation_plasma,count_lq,Engineering and Technology,2007_2008,Denbighshire,0.0
7815,law,count_lq,Social Sciences,2007_2008,Denbighshire,0.0
7816,linguistics,count_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
7817,literature,count_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
7818,management,count_lq,Social Sciences,2007_2008,Denbighshire,0.0
7819,materials,count_lq,Engineering and Technology,2007_2008,Denbighshire,0.0
7820,mathematics,count_lq,Mathematics and Computing,2007_2008,Denbighshire,0.0
7821,media_performance,count_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
7822,medieval_modern_history,count_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
7823,migration_colonial_history,count_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
7824,military_history,count_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
7825,minerals_fuels,count_lq,Environmental Sciences,2007_2008,Denbighshire,0.0
7826,modelling_&_sensors,count_lq,Environmental Sciences,2007_2008,Denbighshire,0.0
7827,modelling_measurement,count_lq,Mathematics and Computing,2007_2008,Denbighshire,0.0
7828,networks,count_lq,Mathematics and Computing,2007_2008,Denbighshire,0.0
7829,neurology,count_lq,Medical Science,2007_2008,Denbighshire,0.0
7830,neuroscience,count_lq,Life Sciences,2007_2008,Denbighshire,0.0
7831,nutrition_health,count_lq,Life Sciences,2007_2008,Denbighshire,0.0
7832,obesity_metabolism,count_lq,Medical Science,2007_2008,Denbighshire,0.0
7833,particle_physics,count_lq,Physics,2007_2008,Denbighshire,0.0
7834,philosophy,count_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
7835,photonics_imaging_quantum,count_lq,Engineering and Technology,2007_2008,Denbighshire,0.0
7836,political_history,count_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
7837,prosthetics_robotics_health,count_lq,Engineering and Technology,2007_2008,Denbighshire,0.0
7838,psychiatry_mental_health,count_lq,Medical Science,2007_2008,Denbighshire,0.0
7839,psychology,count_lq,Social Sciences,2007_2008,Denbighshire,0.0
7840,public_engagement_infrastructure,count_lq,Physics,2007_2008,Denbighshire,0.0
7841,reproduction_fertility,count_lq,Medical Science,2007_2008,Denbighshire,0.0
7842,respiratory_system,count_lq,Medical Science,2007_2008,Denbighshire,0.0
7843,robotics_cybernetics,count_lq,Mathematics and Computing,2007_2008,Denbighshire,0.0
7844,security,count_lq,Engineering and Technology,2007_2008,Denbighshire,0.0
7845,sensors_data_telescopy,count_lq,Physics,2007_2008,Denbighshire,0.0
7846,social_care,count_lq,Social Sciences,2007_2008,Denbighshire,0.0
7847,social_history,count_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
7848,social_history_identity,count_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
7849,sociology,count_lq,Social Sciences,2007_2008,Denbighshire,0.0
7850,statistics_data_analysis,count_lq,Mathematics and Computing,2007_2008,Denbighshire,0.0
7851,surgert_cardiology,count_lq,Medical Science,2007_2008,Denbighshire,0.0
7852,systems_infrastructure,count_lq,Engineering and Technology,2007_2008,Denbighshire,0.0
7853,theoretical_physics,count_lq,Physics,2007_2008,Denbighshire,0.0
7854,transport_communications,count_lq,Mathematics and Computing,2007_2008,Denbighshire,0.0
7855,visual,count_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
7856,ageing,funding_total,Medical Science,2007_2008,Denbighshire,0.0
7857,agriculture_plant_biology_entomology,funding_total,Life Sciences,2007_2008,Denbighshire,0.0
7858,applications_devices_users,funding_total,Mathematics and Computing,2007_2008,Denbighshire,0.0
7859,archaeology,funding_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7860,architecture_spatial,funding_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7861,astronomy,funding_total,Physics,2007_2008,Denbighshire,0.0
7862,astrophysics,funding_total,Physics,2007_2008,Denbighshire,0.0
7863,bio_informatics,funding_total,Life Sciences,2007_2008,Denbighshire,0.0
7864,biopharmaceuticals,funding_total,Life Sciences,2007_2008,Denbighshire,0.0
7865,bones_muscles,funding_total,Life Sciences,2007_2008,Denbighshire,0.0
7866,carbon_greenhouse_pollution,funding_total,Environmental Sciences,2007_2008,Denbighshire,0.0
7867,cells_cancer,funding_total,Medical Science,2007_2008,Denbighshire,0.0
7868,cellular_biology_cancer,funding_total,Life Sciences,2007_2008,Denbighshire,0.0
7869,chemistry_biochemistry,funding_total,Engineering and Technology,2007_2008,Denbighshire,0.0
7870,classic_religious_history,funding_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7871,climate_science,funding_total,Environmental Sciences,2007_2008,Denbighshire,0.0
7872,cognition_&_audio,funding_total,Mathematics and Computing,2007_2008,Denbighshire,0.0
7873,computer_science,funding_total,Mathematics and Computing,2007_2008,Denbighshire,0.0
7874,computer_vision,funding_total,Mathematics and Computing,2007_2008,Denbighshire,0.0
7875,cosmology,funding_total,Physics,2007_2008,Denbighshire,0.0
7876,criminology_violence,funding_total,Social Sciences,2007_2008,Denbighshire,0.0
7877,cyber_security,funding_total,Mathematics and Computing,2007_2008,Denbighshire,0.0
7878,data_methods,funding_total,Medical Science,2007_2008,Denbighshire,0.0
7879,design_&_heritage,funding_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7880,development_studies,funding_total,Social Sciences,2007_2008,Denbighshire,0.0
7881,disease_infection_health,funding_total,Medical Science,2007_2008,Denbighshire,0.0
7882,drug_tests,funding_total,Medical Science,2007_2008,Denbighshire,0.0
7883,economics,funding_total,Social Sciences,2007_2008,Denbighshire,0.0
7884,ecosystems,funding_total,Environmental Sciences,2007_2008,Denbighshire,0.0
7885,education,funding_total,Social Sciences,2007_2008,Denbighshire,0.0
7886,electronics_transistors,funding_total,Engineering and Technology,2007_2008,Denbighshire,0.0
7887,energy_environmental,funding_total,Engineering and Technology,2007_2008,Denbighshire,0.0
7888,energy_transport_technology,funding_total,Engineering and Technology,2007_2008,Denbighshire,0.0
7889,environment,funding_total,Social Sciences,2007_2008,Denbighshire,0.0
7890,environmental_policy,funding_total,Environmental Sciences,2007_2008,Denbighshire,0.0
7891,epidemiology_immunology,funding_total,Life Sciences,2007_2008,Denbighshire,0.0
7892,evidence_for_policy,funding_total,Social Sciences,2007_2008,Denbighshire,0.0
7893,experiments,funding_total,Medical Science,2007_2008,Denbighshire,0.0
7894,gender_sexuality,funding_total,Social Sciences,2007_2008,Denbighshire,0.0
7895,genetics,funding_total,Medical Science,2007_2008,Denbighshire,0.0
7896,geology,funding_total,Environmental Sciences,2007_2008,Denbighshire,0.0
7897,health_interventions_policy,funding_total,Medical Science,2007_2008,Denbighshire,0.0
7898,health_social_issues,funding_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7899,hidrology,funding_total,Environmental Sciences,2007_2008,Denbighshire,0.0
7900,imaging,funding_total,Life Sciences,2007_2008,Denbighshire,0.0
7901,industrial_application,funding_total,Life Sciences,2007_2008,Denbighshire,0.0
7902,ionisation_plasma,funding_total,Engineering and Technology,2007_2008,Denbighshire,0.0
7903,law,funding_total,Social Sciences,2007_2008,Denbighshire,0.0
7904,linguistics,funding_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7905,literature,funding_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7906,management,funding_total,Social Sciences,2007_2008,Denbighshire,0.0
7907,materials,funding_total,Engineering and Technology,2007_2008,Denbighshire,0.0
7908,mathematics,funding_total,Mathematics and Computing,2007_2008,Denbighshire,0.0
7909,media_performance,funding_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7910,medieval_modern_history,funding_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7911,migration_colonial_history,funding_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7912,military_history,funding_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7913,minerals_fuels,funding_total,Environmental Sciences,2007_2008,Denbighshire,0.0
7914,modelling_&_sensors,funding_total,Environmental Sciences,2007_2008,Denbighshire,0.0
7915,modelling_measurement,funding_total,Mathematics and Computing,2007_2008,Denbighshire,0.0
7916,networks,funding_total,Mathematics and Computing,2007_2008,Denbighshire,0.0
7917,neurology,funding_total,Medical Science,2007_2008,Denbighshire,0.0
7918,neuroscience,funding_total,Life Sciences,2007_2008,Denbighshire,0.0
7919,nutrition_health,funding_total,Life Sciences,2007_2008,Denbighshire,0.0
7920,obesity_metabolism,funding_total,Medical Science,2007_2008,Denbighshire,0.0
7921,particle_physics,funding_total,Physics,2007_2008,Denbighshire,0.0
7922,philosophy,funding_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7923,photonics_imaging_quantum,funding_total,Engineering and Technology,2007_2008,Denbighshire,0.0
7924,political_history,funding_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7925,prosthetics_robotics_health,funding_total,Engineering and Technology,2007_2008,Denbighshire,0.0
7926,psychiatry_mental_health,funding_total,Medical Science,2007_2008,Denbighshire,0.0
7927,psychology,funding_total,Social Sciences,2007_2008,Denbighshire,0.0
7928,public_engagement_infrastructure,funding_total,Physics,2007_2008,Denbighshire,0.0
7929,reproduction_fertility,funding_total,Medical Science,2007_2008,Denbighshire,0.0
7930,respiratory_system,funding_total,Medical Science,2007_2008,Denbighshire,0.0
7931,robotics_cybernetics,funding_total,Mathematics and Computing,2007_2008,Denbighshire,0.0
7932,security,funding_total,Engineering and Technology,2007_2008,Denbighshire,0.0
7933,sensors_data_telescopy,funding_total,Physics,2007_2008,Denbighshire,0.0
7934,social_care,funding_total,Social Sciences,2007_2008,Denbighshire,0.0
7935,social_history,funding_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7936,social_history_identity,funding_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7937,sociology,funding_total,Social Sciences,2007_2008,Denbighshire,0.0
7938,statistics_data_analysis,funding_total,Mathematics and Computing,2007_2008,Denbighshire,0.0
7939,surgert_cardiology,funding_total,Medical Science,2007_2008,Denbighshire,0.0
7940,systems_infrastructure,funding_total,Engineering and Technology,2007_2008,Denbighshire,0.0
7941,theoretical_physics,funding_total,Physics,2007_2008,Denbighshire,0.0
7942,transport_communications,funding_total,Mathematics and Computing,2007_2008,Denbighshire,0.0
7943,visual,funding_total,Arts and Humanities,2007_2008,Denbighshire,0.0
7944,ageing,funding_lq,Medical Science,2007_2008,Denbighshire,0.0
7945,agriculture_plant_biology_entomology,funding_lq,Life Sciences,2007_2008,Denbighshire,0.0
7946,applications_devices_users,funding_lq,Mathematics and Computing,2007_2008,Denbighshire,0.0
7947,archaeology,funding_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
7948,architecture_spatial,funding_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
7949,astronomy,funding_lq,Physics,2007_2008,Denbighshire,0.0
7950,astrophysics,funding_lq,Physics,2007_2008,Denbighshire,0.0
7951,bio_informatics,funding_lq,Life Sciences,2007_2008,Denbighshire,0.0
7952,biopharmaceuticals,funding_lq,Life Sciences,2007_2008,Denbighshire,0.0
7953,bones_muscles,funding_lq,Life Sciences,2007_2008,Denbighshire,0.0
7954,carbon_greenhouse_pollution,funding_lq,Environmental Sciences,2007_2008,Denbighshire,0.0
7955,cells_cancer,funding_lq,Medical Science,2007_2008,Denbighshire,0.0
7956,cellular_biology_cancer,funding_lq,Life Sciences,2007_2008,Denbighshire,0.0
7957,chemistry_biochemistry,funding_lq,Engineering and Technology,2007_2008,Denbighshire,0.0
7958,classic_religious_history,funding_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
7959,climate_science,funding_lq,Environmental Sciences,2007_2008,Denbighshire,0.0
7960,cognition_&_audio,funding_lq,Mathematics and Computing,2007_2008,Denbighshire,0.0
7961,computer_science,funding_lq,Mathematics and Computing,2007_2008,Denbighshire,0.0
7962,computer_vision,funding_lq,Mathematics and Computing,2007_2008,Denbighshire,0.0
7963,cosmology,funding_lq,Physics,2007_2008,Denbighshire,0.0
7964,criminology_violence,funding_lq,Social Sciences,2007_2008,Denbighshire,0.0
7965,cyber_security,funding_lq,Mathematics and Computing,2007_2008,Denbighshire,0.0
7966,data_methods,funding_lq,Medical Science,2007_2008,Denbighshire,0.0
7967,design_&_heritage,funding_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
7968,development_studies,funding_lq,Social Sciences,2007_2008,Denbighshire,0.0
7969,disease_infection_health,funding_lq,Medical Science,2007_2008,Denbighshire,0.0
7970,drug_tests,funding_lq,Medical Science,2007_2008,Denbighshire,0.0
7971,economics,funding_lq,Social Sciences,2007_2008,Denbighshire,0.0
7972,ecosystems,funding_lq,Environmental Sciences,2007_2008,Denbighshire,0.0
7973,education,funding_lq,Social Sciences,2007_2008,Denbighshire,0.0
7974,electronics_transistors,funding_lq,Engineering and Technology,2007_2008,Denbighshire,0.0
7975,energy_environmental,funding_lq,Engineering and Technology,2007_2008,Denbighshire,0.0
7976,energy_transport_technology,funding_lq,Engineering and Technology,2007_2008,Denbighshire,0.0
7977,environment,funding_lq,Social Sciences,2007_2008,Denbighshire,0.0
7978,environmental_policy,funding_lq,Environmental Sciences,2007_2008,Denbighshire,0.0
7979,epidemiology_immunology,funding_lq,Life Sciences,2007_2008,Denbighshire,0.0
7980,evidence_for_policy,funding_lq,Social Sciences,2007_2008,Denbighshire,0.0
7981,experiments,funding_lq,Medical Science,2007_2008,Denbighshire,0.0
7982,gender_sexuality,funding_lq,Social Sciences,2007_2008,Denbighshire,0.0
7983,genetics,funding_lq,Medical Science,2007_2008,Denbighshire,0.0
7984,geology,funding_lq,Environmental Sciences,2007_2008,Denbighshire,0.0
7985,health_interventions_policy,funding_lq,Medical Science,2007_2008,Denbighshire,0.0
7986,health_social_issues,funding_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
7987,hidrology,funding_lq,Environmental Sciences,2007_2008,Denbighshire,0.0
7988,imaging,funding_lq,Life Sciences,2007_2008,Denbighshire,0.0
7989,industrial_application,funding_lq,Life Sciences,2007_2008,Denbighshire,0.0
7990,ionisation_plasma,funding_lq,Engineering and Technology,2007_2008,Denbighshire,0.0
7991,law,funding_lq,Social Sciences,2007_2008,Denbighshire,0.0
7992,linguistics,funding_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
7993,literature,funding_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
7994,management,funding_lq,Social Sciences,2007_2008,Denbighshire,0.0
7995,materials,funding_lq,Engineering and Technology,2007_2008,Denbighshire,0.0
7996,mathematics,funding_lq,Mathematics and Computing,2007_2008,Denbighshire,0.0
7997,media_performance,funding_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
7998,medieval_modern_history,funding_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
7999,migration_colonial_history,funding_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
8000,military_history,funding_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
8001,minerals_fuels,funding_lq,Environmental Sciences,2007_2008,Denbighshire,0.0
8002,modelling_&_sensors,funding_lq,Environmental Sciences,2007_2008,Denbighshire,0.0
8003,modelling_measurement,funding_lq,Mathematics and Computing,2007_2008,Denbighshire,0.0
8004,networks,funding_lq,Mathematics and Computing,2007_2008,Denbighshire,0.0
8005,neurology,funding_lq,Medical Science,2007_2008,Denbighshire,0.0
8006,neuroscience,funding_lq,Life Sciences,2007_2008,Denbighshire,0.0
8007,nutrition_health,funding_lq,Life Sciences,2007_2008,Denbighshire,0.0
8008,obesity_metabolism,funding_lq,Medical Science,2007_2008,Denbighshire,0.0
8009,particle_physics,funding_lq,Physics,2007_2008,Denbighshire,0.0
8010,philosophy,funding_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
8011,photonics_imaging_quantum,funding_lq,Engineering and Technology,2007_2008,Denbighshire,0.0
8012,political_history,funding_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
8013,prosthetics_robotics_health,funding_lq,Engineering and Technology,2007_2008,Denbighshire,0.0
8014,psychiatry_mental_health,funding_lq,Medical Science,2007_2008,Denbighshire,0.0
8015,psychology,funding_lq,Social Sciences,2007_2008,Denbighshire,0.0
8016,public_engagement_infrastructure,funding_lq,Physics,2007_2008,Denbighshire,0.0
8017,reproduction_fertility,funding_lq,Medical Science,2007_2008,Denbighshire,0.0
8018,respiratory_system,funding_lq,Medical Science,2007_2008,Denbighshire,0.0
8019,robotics_cybernetics,funding_lq,Mathematics and Computing,2007_2008,Denbighshire,0.0
8020,security,funding_lq,Engineering and Technology,2007_2008,Denbighshire,0.0
8021,sensors_data_telescopy,funding_lq,Physics,2007_2008,Denbighshire,0.0
8022,social_care,funding_lq,Social Sciences,2007_2008,Denbighshire,0.0
8023,social_history,funding_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
8024,social_history_identity,funding_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
8025,sociology,funding_lq,Social Sciences,2007_2008,Denbighshire,0.0
8026,statistics_data_analysis,funding_lq,Mathematics and Computing,2007_2008,Denbighshire,0.0
8027,surgert_cardiology,funding_lq,Medical Science,2007_2008,Denbighshire,0.0
8028,systems_infrastructure,funding_lq,Engineering and Technology,2007_2008,Denbighshire,0.0
8029,theoretical_physics,funding_lq,Physics,2007_2008,Denbighshire,0.0
8030,transport_communications,funding_lq,Mathematics and Computing,2007_2008,Denbighshire,0.0
8031,visual,funding_lq,Arts and Humanities,2007_2008,Denbighshire,0.0
8032,ageing,count_total,Medical Science,2009_2010,Denbighshire,0.0
8033,agriculture_plant_biology_entomology,count_total,Life Sciences,2009_2010,Denbighshire,0.0
8034,applications_devices_users,count_total,Mathematics and Computing,2009_2010,Denbighshire,0.0
8035,archaeology,count_total,Arts and Humanities,2009_2010,Denbighshire,0.0
8036,architecture_spatial,count_total,Arts and Humanities,2009_2010,Denbighshire,0.0
8037,astronomy,count_total,Physics,2009_2010,Denbighshire,0.0
8038,astrophysics,count_total,Physics,2009_2010,Denbighshire,0.0
8039,bio_informatics,count_total,Life Sciences,2009_2010,Denbighshire,0.0
